Mail,Filename,Predictions
fw : cetv request mr xyz following my email dated 28th october mr xyz has now left employment and is no longer an active member of the pension scheme please calculate and send his guaranteed transfer value cetv as soon as possible regards test ifa from : test ifa fincorp com sent : 28 october 2020 13 : 45 to : test pensions pensions com subject : cetv request mr xyz importance : high mr xyz 10 test road test street aa12 123 works number : tst12345678 dob : 01 01 1400 ni no : zz123123z i hold authority for mr xyz and request a cetv be sent to me for him as soon as possible thank you test ifa,CETV Request_Mr XYZ .msg,Transfer
letter of authority - client abcd good afternoon please find attached a letter of authority and information request for our client abcd please send all correspondence to this email where possible kind regards test ifa,Letter of Authority - client ABCD.msg,Transfer
change of address hi my name is abc my birthday is 01 01 1400 around a year ago i moved house my new address is as below mr abc 10 test road test street aa12 123 my previous address was 103 test road test street ua12 123 i have tried to register online but it didn t seem to work properly regards abc ,Change of address_ABC.msg,MDU
change of name dear sir abc pension reference tst12345678 zz123123z i refer to a mail forwarded to your payroll department on 13th october on reflection i think this should have been sent to you i would like to confirm my change of name i married on 4th august 2020 and my new surname is abc i have advised hmrc and my details have been updated with them similarly my bank have been informed and my accounts have been amended from def to abc but the account number and sort code remain the same i attach a photocopy of my marriage certificate for your records should you require any further information please do not hesitate to contact me my phone numbers and email address remain the same yours faithfully mrs abc,Change of name.msg,MDU
re : def retirement and employee scheme - abc good morning further to your email please see the following : 10 test road test street aa12 123 1st january 1400 zz123123z regards test ifa from : test pensions pensions com sent : 01 december 2020 08 : 04 to : test ifa fincorp com subject : def retirement and employee scheme abc dear test ifa def retirement and employee scheme thank you for your email regarding the def retirement and employee scheme to enable us to answer your enquiry please could you provide the member full address date of birth and national insurance number for data verification purposes for added security please also confirm your full company name and the address stated on the provided letter of authority should you have any further queries please do not hesitate to contact the customer support centre between 8 30am and 5 30pm monday to friday on our helpline + 91 012345678 alternatively please email us at test pensions pensions com yours sincerely test pensions from : test ifa fincorp com sent : 27 november 2020 14 : 55 to : test pensions pensions com subject : - tst12345678 good morning i uploaded an loa and information request form to your website on 29 10 20 please could you provide me with an update kind regards test ifa,DEF Retirement and Employee Scheme - ABC.msg,Transfer
change of address dear test pension please note that i have moved from : 107 test road test street wa12 123 to : 10 test road test street aa12 123 regards abc + 91 012345678,ABC_Change of address.msg,MDU
death of a pensioner lmn nino - zz123123z dob - 01 01 1400 date of death - 01 january 1400 reference - tst12345678 spouse or partner - no informant - daughter mrs def 10 test road test street aa12 123 tel + 91 012345678 i have been informed of the above members death could you please cease payment and contact the informant for the death certificate kind regards abc,Death of a Pensioner  LMN.msg,Death
 pre - identified user support request reply email address : abc xyz testmail com forename : abc xyz surname : def ni number : zz123123z dob : 01 jan 1400 home postcode : aa12 123 employer : fin corp ltd subject : leaving fin corp ltd content : hi i will be leaving fin corp ltd in february 1400 but not taking any pension at that time my nrd is not until 1500 am i ok to simply leave the arrangements as they stand at the point when i leave or do i need to make any addtional arrangements thanks abc,FW PRE-IDENTIFIED USER SUPPORT REQUEST.msg,Retirement
fw : change of address from : abc xyz testmail com sent : thursday october 15 2020 3 : 00 : 24 to : test pensions pensions com subject : change of address i would like to update my personal details can someone please contact me as i am not able to contact you via telephone regards abc,Change of Address  ABC.msg,MDU
re : estate of - test pension ref : tst12345678 tees : 00123456789000 dear test pensions thank you for your email however i am confused test s letter of 28th september has been received and my letter sent by email on 5th october acknowledged this my letter of 5th october 2020 also provided the bank account details for mr lmno spouse of the deceased as requested in the letter from test please confirm that the funeral benefit is now being processed and will be sent to mr lmno shortly please also let me have details of your complaints procedure as this is now completely unacceptable i look forward to hearing from you yours sincerely test ifa from : test pensions pensions com sent : 08 october 2020 07 : 10 to : test ifa fincorp com subject : estate of - test pension ref : tst12345678 tees : 00123456789000 dear test ifa test pension fund thank you for your email regarding the test pension fund i have checked our records and can confirm that the correspondence was issued to you on 28 september 2020 however i have attached correspondence for your reference if you require any further information or have any questions please contact the customer support centre on + 91 012345678 between 8 30am and 5 30pm monday to friday or alternatively email us at test pensions pensions com<mailto : test pensions pensions com yours sincerely test pensions from : test ifa fincorp com sent : 05 october 2020 22 : 23 to : test pensions pensions com subject : estate of - test pension ref : tst12345678 tees : 00123456789000 importance : high dear sirs please find attached our letter to you of today s date we look forward to receiving confirmation of the payment to mr lmno shortly yours faithfully test ifa,Estate of  - TEST Pension Ref TST12345678 Tees00123456789000.msg,Death
beneficiaries data form name : lmno ni number : zz123123z reference : tst12345678 hello please find attached the beneficiaries application if you have any questions and you can best to email to me at this email address otherwise contact my mother at the address on the application thank you abc xyz,Beneficiaries Data Form.msg,Death
immediate retirement quote ref : tst12345678 test pension scheme mr abc xyz 10 test road test street aa12 123 ni zz123123z dear abc thank you for your recent correspondence i would like to request an immediate retirement quote for mr abc and retirement pack with his options on taking his pension from the scheme if you could also please send me a copy of this information if you require any further information from myself please let me know kind regards abc xyz,FW Immediate Retirement Quote.msg,Retirement
policy ref : 13245 dear sirs re : policy ref 132456 mrs abc xyz 10 test road test street aa12 123 date of birth 01 01 1400 ni : zz123123z my employment at yorkshire water ceased on 01 01 1400 and i am writing to request early retirement quotation estimation calculations from you for the following options : 01 01 1400 with lump sum and without lump sum options - age 58 01 01 1400 with lump sum and without lump sum options - age 60 i look forward to hearing from you soon yours faithfully mrs abc xyz,FW Policy Ref 132456.msg,Retirement
abcd xx tst12345678 good morning re xx test pensions ref no tst12345678 sorry this is quite urgent as docs only valid until 01 01 1400 i have tried to contact your office vis phone today still holding after 45 minutes documents received to transfer client benefits can we email across discharge forms signed by client or are originals required no adviser sign off doc was attached is this required can we send across our standard document of can you provide such a document via email asap again is original required in post or can we email i look forward to your response test ifa,ABCD XX TST12345678.msg,Transfer
abc - cetv request dear sirs re : test group pension plan member : abc ni number : zz123123z i refer to my request of 12 october 2020 for a new cetv in respect of the above member and your letter of 2 november confirming it was referred to the scheme actuary for review i should be grateful if you would provide me with an update on this and when i should expect receipt yours faithfully test fund,ABC - CETV Request.msg,Transfer
your reference : tst12345678 our reference : zz123123z good morning we have received your letter of 18 september 2020 regarding the passing of mr lmno we have searched our records and cannot find a policy for mr lmno on the money purchase department we are unable to forward your letter to the correct department as we are unsure of the department please could you confirm who your usual contact is for the test retirement death benefits plan xxxx section if we do not hear from you within the next 20 days we will close the request kind regards test fund,Your reference TST12345678.msg,Death
employee no 132456 hi im an ex employee trying to find all my old pensions from ex employers please could you inform me of steps required in obtaining my contribution while i worked for dsg i am planning on combining all of my pensions so need the data regards abc xyz,FW EMPLOYEE NO 123456.msg,Retirement
change of address i have changed my address and now living in xxx my new address is : - 10 test road test street aa12 123 best regards abc,ABCChange of address.msg,MDU
funeral receipt for abc xyz to whom it may concern please find attached the funeral receipt of my father mr abc xyz ref : tst12345678 regards mr abc xyz son sent from my galaxy,FW Funeral Receipt for ABC XYZ.msg,Death
pension abc xyz 01 01 1400 zz123123z hi i got a quote this morning to take my pension and want to know was my care allowance included in the quote and also i would like a quote to take my whole pension as one lump sum please can you provide this for me as i can t do this on line thanks in advance abc xyz,FW Pension.msg,Retirement
fw : abcd query hello team please see below query and reply accordingly to the member ifa many thanks test pensions from : test ifa fincorp com sent : 30 november 2020 17 : 33 to : test pensions pensions com subject : abcd query hi please find attached a letter of authority and scheme information request letter that was previously sent to xyz in september 2020 can you please confirm receipt and arrange for this information to be provided to me as a matter of urgency we have received other cetv s for this client which are administered by yourselves which are due to expire at end of december 2020 therefore we would appreciate your assistance to expedite this request we have unfortunately spent some time trying to trace the administrators of this scheme and i understand the benefits were invested through xyz your assistance in this matter would be gratefully appreciated password to follow kind regards test ifa,ABCD QUERY.msg,Transfer
fwd : early quotation get outlook for android from : abc xyz sent : tuesday august 27 2019 10 : 55 : 53 am to : test ifa fincorp com subject : early quotation please can you send me some early retirement quotation forms ref tst12345678 national insurance number zz123123z get outlook for android,FW Early quotation.msg,Retirement
 pre - identified user support request reply email address : test ifa fincorp com forename : abc surname : xyz ni number : zz123123z dob : 01 jan 1400 home postcode : aa12 12 employer : fin corp ltd subject : fin corp ltd content : policy 1234567 as i reach retirement age - wish to make arrangements for bringing this pension into payment abc,FW PRE-IDENTIFIED USER SUPPORT REQUEST 1.msg,Retirement
re : change of address - abcd hi test fund the members address has been updated thank you test pensions from : testfund fincorp com sent : 13 october 2020 18 : 14 to : test pensions pensions com subject : change of address - abcd nino - zz123123z dob - 01 01 1400 new address : 10 test road test street aa12 123 tel : + 91 012345678 email abc xyz testmail com could you please update your records with the members new address and contact details could you also previde him with his pension options see attached request kind regards test fund,Change of Address-ABCD.msg,MDU
